# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
8457,39.6021090,-104.9296790,2,-78.80,7.372,-25.300
8507,39.6021110,-104.9296800,2,-80.80,7.183,-27.700
8557,39.6021140,-104.9296820,2,-82.70,7.002,-30.000
8607,39.6021160,-104.9296840,2,-84.80,6.810,-32.900
8657,39.6021180,-104.9296860,2,-87.00,6.615,-35.200
8707,39.6021210,-104.9296880,2,-89.10,6.423,-37.000
8757,39.6021230,-104.9296900,2,-91.40,6.230,-39.100
8807,39.6021250,-104.9296930,2,-93.70,6.040,-41.800
8857,39.6021270,-104.9296950,2,-96.10,5.844,315.200
8907,39.6021290,-104.9296980,2,-98.50,5.653,313.100
8957,39.6021310,-104.9297000,2,-101.00,5.465,310.700
9007,39.6021330,-104.9297030,2,-103.60,5.269,308.400
9057,39.6021340,-104.9297060,2,-106.30,5.085,307.700
9107,39.6021360,-104.9297090,2,-109.10,4.914,305.900
9157,39.6021380,-104.9297120,2,-112.10,4.740,303.600
9207,39.6021390,-104.9297150,2,-115.30,4.569,301.800
9257,39.6021410,-104.9297180,2,-118.60,4.408,299.400
9307,39.6021420,-104.9297210,2,-122.00,4.252,297.300
9357,39.6021430,-104.9297240,2,-125.60,4.100,295.400
9407,39.6021440,-104.9297270,2,-129.50,3.958,294.200
9457,39.6021450,-104.9297310,2,-133.60,3.829,292.600
9507,39.6021460,-104.9297340,2,-138.00,3.710,290.700
9557,39.6021470,-104.9297370,2,-142.50,3.604,287.900
9607,39.6021480,-104.9297410,2,-147.20,3.508,285.700
9657,39.6021490,-104.9297440,2,-152.20,3.421,282.600
9707,39.6021490,-104.9297480,2,-157.20,3.350,281.000
9757,39.6021500,-104.9297510,2,-162.40,3.295,278.500
9807,39.6021500,-104.9297550,2,-167.80,3.257,276.500
9857,39.6021500,-104.9297580,2,-173.20,3.234,273.300
9907,39.6021510,-104.9297620,2,-178.60,3.224,270.900
9957,39.6021510,-104.9297650,2,176.20,3.229,267.900
10007,39.6021500,-104.9297690,2,170.90,3.247,265.400
10057,39.6021500,-104.9297730,2,165.60,3.279,262.700
10107,39.6021500,-104.9297760,2,160.40,3.324,260.000
10157,39.6021490,-104.9297790,2,155.30,3.382,257.600
10207,39.6021490,-104.9297830,2,150.30,3.456,255.200
10257,39.6021480,-104.9297860,2,145.70,3.537,252.100
10307,39.6021470,-104.9297900,2,141.10,3.627,249.300
10357,39.6021460,-104.9297930,2,136.60,3.727,245.700
10407,39.6021450,-104.9297960,2,132.40,3.826,241.700
10457,39.6021430,-104.9297990,2,128.30,3.928,238.700
10507,39.6021420,-104.9298020,2,124.30,4.034,234.500
10557,39.6021400,-104.9298050,2,120.40,4.140,231.400
10607,39.6021390,-104.9298070,2,116.60,4.247,227.100
10657,39.6021370,-104.9298100,2,113.00,4.354,224.100
10707,39.6021350,-104.9298120,2,109.40,4.463,220.600
10757,39.6021330,-104.9298140,2,105.90,4.571,217.800
10807,39.6021310,-104.9298160,2,102.50,4.682,213.900
10857,39.6021290,-104.9298180,2,99.30,4.789,211.200
10907,39.6021260,-104.9298200,2,96.10,4.900,207.600
10957,39.6021240,-104.9298210,2,93.00,5.006,204.200
11007,39.6021210,-104.9298230,2,89.90,5.113,200.500
11057,39.6021190,-104.9298240,2,86.90,5.214,197.600
11107,39.6021170,-104.9298250,2,84.00,5.318,194.300
11157,39.6021140,-104.9298250,2,81.10,5.420,190.900
11207,39.6021110,-104.9298260,2,78.20,5.515,186.900
11257,39.6021090,-104.9298260,2,75.40,5.610,183.900
11307,39.6021060,-104.9298260,2,72.60,5.699,179.800
11357,39.6021040,-104.9298260,2,69.90,5.785,176.900
11407,39.6021010,-104.9298260,2,67.20,5.868,173.500
11457,39.6020990,-104.9298260,2,64.50,5.951,170.400
11507,39.6020960,-104.9298250,2,61.90,6.028,166.800
11557,39.6020940,-104.9298240,2,59.30,6.102,163.600
11607,39.6020910,-104.9298230,2,56.60,6.173,159.900
11657,39.6020890,-104.9298220,2,54.10,6.240,157.100
11707,39.6020860,-104.9298210,2,51.50,6.303,153.700
11757,39.6020840,-104.9298190,2,49.00,6.365,150.800
11807,39.6020820,-104.9298170,2,46.50,6.420,146.900
11857,39.6020800,-104.9298150,2,44.00,6.470,143.500
11907,39.6020780,-104.9298130,2,41.50,6.514,139.300
11957,39.6020760,-104.9298110,2,39.10,6.553,136.200
12007,39.6020740,-104.9298090,2,36.70,6.585,132.400
12057,39.6020730,-104.9298070,2,34.50,6.607,127.700
12107,39.6020710,-104.9298040,2,32.40,6.614,121.600
12157,39.6020700,-104.9298020,2,30.30,6.607,115.800
12207,39.6020700,-104.9298000,2,28.50,6.580,107.600
12257,39.6020690,-104.9297970,2,26.40,6.527,100.200
12307,39.6020690,-104.9297940,2,24.50,6.452,91.800
12357,39.6020690,-104.9297920,2,22.80,6.366,84.900
12407,39.6020690,-104.9297890,2,21.10,6.260,76.500
12457,39.6020700,-104.9297870,2,19.70,6.145,68.900
12507,39.6020700,-104.9297850,2,18.50,6.021,61.400
12557,39.6020710,-104.9297830,2,17.40,5.884,54.100
12607,39.6020720,-104.9297820,2,16.40,5.747,47.700
12657,39.6020730,-104.9297810,2,15.70,5.611,40.800
12707,39.6020740,-104.9297800,2,15.00,5.462,33.300
12757,39.6020750,-104.9297790,2,14.60,5.327,26.500
12807,39.6020760,-104.9297780,2,14.40,5.188,21.900
12857,39.6020780,-104.9297770,2,14.20,5.053,17.300
12907,39.6020790,-104.9297770,2,14.20,4.918,14.000
12957,39.6020800,-104.9297770,2,14.20,4.787,8.700
13007,39.6020810,-104.9297770,2,14.40,4.658,6.600
13057,39.6020820,-104.9297760,2,14.70,4.533,5.100
13107,39.6020830,-104.9297760,2,14.90,4.414,6.900
13157,39.6020840,-104.9297760,2,15.10,4.295,5.500
13207,39.6020850,-104.9297760,2,15.40,4.171,7.600
13257,39.6020860,-104.9297760,2,15.70,4.057,4.600
13307,39.6020880,-104.9297760,2,16.00,3.939,7.300
13357,39.6020880,-104.9297750,2,16.30,3.835,4.200
13407,39.6020900,-104.9297750,2,16.60,3.721,9.300
13457,39.6020910,-104.9297750,2,16.80,3.612,7.100
13507,39.6020910,-104.9297750,2,17.10,3.507,10.700
13557,39.6020920,-104.9297750,2,17.30,3.408,6.100
13607,39.6020930,-104.9297750,2,17.60,3.304,6.200
13657,39.6020940,-104.9297750,2,18.10,3.207,1.100
13707,39.6020950,-104.9297750,2,18.60,3.116,-1.700
13757,39.6020960,-104.9297750,2,19.30,3.028,-7.400
13807,39.6020970,-104.9297750,3,-105.00,27.819,-6.800
13857,39.6020980,-104.9297750,3,-105.10,27.828,-12.700
13907,39.6020980,-104.9297750,3,-105.30,27.834,-10.800
13957,39.6020990,-104.9297750,3,-105.50,27.837,-16.300
14007,39.6021000,-104.9297760,3,-105.70,27.838,-12.900
14057,39.6021010,-104.9297760,3,-105.90,27.840,-15.800
14107,39.6021010,-104.9297760,3,-106.00,27.844,-9.900
14157,39.6021020,-104.9297760,3,-106.20,27.853,-9.200
14207,39.6021030,-104.9297770,3,-106.30,27.846,-37.900
14257,39.6021030,-104.9297770,3,-106.50,27.817,-36.400
14307,39.6021040,-104.9297780,3,-106.60,27.787,-53.100
14357,39.6021040,-104.9297780,3,-106.70,27.746,-51.500
14407,39.6021040,-104.9297790,3,-106.80,27.700,294.700
14457,39.6021050,-104.9297800,3,-106.90,27.651,296.200
14507,39.6021050,-104.9297800,3,-107.00,27.597,288.400
14557,39.6021050,-104.9297810,3,-107.10,27.544,290.000
14607,39.6021050,-104.9297820,3,-107.20,27.492,287.500
14657,39.6021050,-104.9297830,3,-107.30,27.442,288.900
14707,39.6021060,-104.9297830,3,-107.30,27.390,290.800
14757,39.6021060,-104.9297840,3,-107.40,27.347,292.100
14807,39.6021060,-104.9297850,3,-107.50,27.287,296.800
14857,39.6021060,-104.9297860,3,-107.70,27.226,296.800
14907,39.6021070,-104.9297870,3,-107.80,27.147,302.400
