# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
7161,39.5975820,-104.9327820,2,178.10,19.607,113.000
7211,39.5975820,-104.9327810,2,178.40,19.552,114.100
7261,39.5975810,-104.9327800,2,178.80,19.498,111.100
7311,39.5975810,-104.9327780,2,179.10,19.449,111.500
7361,39.5975800,-104.9327770,2,179.50,19.399,112.100
7411,39.5975800,-104.9327750,2,179.80,19.354,108.800
7461,39.5975800,-104.9327740,2,-179.80,19.308,112.600
7511,39.5975790,-104.9327730,2,-179.40,19.266,106.300
7561,39.5975790,-104.9327710,2,-179.00,19.225,111.400
7611,39.5975790,-104.9327700,2,-178.70,19.188,104.000
7661,39.5975780,-104.9327680,2,-178.30,19.153,109.500
7711,39.5975780,-104.9327670,2,-177.90,19.121,103.200
7761,39.5975770,-104.9327650,2,-177.50,19.089,109.100
7811,39.5975770,-104.9327630,2,-177.10,19.059,103.700
7861,39.5975770,-104.9327620,2,-176.70,19.029,109.600
7911,39.5975760,-104.9327600,2,-176.30,18.997,105.200
7961,39.5975760,-104.9327590,2,-175.90,18.965,111.200
8011,39.5975760,-104.9327570,2,-175.50,18.931,106.800
8061,39.5975750,-104.9327560,2,-175.10,18.899,113.100
8111,39.5975750,-104.9327550,2,-174.70,18.861,109.400
8161,39.5975740,-104.9327530,2,-174.40,18.824,115.700
8211,39.5975740,-104.9327520,2,-174.00,18.783,112.600
8261,39.5975730,-104.9327500,2,-173.60,18.740,119.000
8311,39.5975730,-104.9327490,2,-173.30,18.695,116.300
8361,39.5975720,-104.9327480,2,-172.90,18.646,122.800
8411,39.5975720,-104.9327470,2,-172.60,18.596,120.400
8461,39.5975710,-104.9327450,2,-172.20,18.543,126.900
8511,39.5975710,-104.9327440,2,-171.90,18.486,125.200
8561,39.5975700,-104.9327430,2,-171.50,18.427,131.300
8611,39.5975690,-104.9327420,2,-171.20,18.366,129.500
8661,39.5975690,-104.9327410,2,-170.90,18.300,135.400
8711,39.5975680,-104.9327400,2,-170.60,18.232,134.700
8761,39.5975670,-104.9327390,2,-170.30,18.162,140.600
8811,39.5975660,-104.9327380,2,-170.10,18.086,141.000
8861,39.5975650,-104.9327380,2,-169.80,18.010,146.600
8911,39.5975650,-104.9327370,2,-169.60,17.926,147.300
8961,39.5975640,-104.9327360,2,-169.30,17.839,152.600
9011,39.5975630,-104.9327360,2,-169.10,17.746,154.500
9061,39.5975620,-104.9327350,2,-168.90,17.651,159.000
9111,39.5975610,-104.9327350,2,-168.70,17.554,164.400
9161,39.5975600,-104.9327340,2,-168.50,17.450,168.300
9211,39.5975590,-104.9327340,2,-168.40,17.337,173.400
9261,39.5975580,-104.9327340,2,-168.30,17.227,176.900
9311,39.5975570,-104.9327340,2,-168.20,17.113,185.300
9361,39.5975560,-104.9327340,2,-168.20,16.993,187.800
9411,39.5975550,-104.9327350,2,-168.20,16.879,202.900
9461,39.5975540,-104.9327350,2,-168.30,16.756,204.600
9511,39.5975530,-104.9327360,2,-168.50,16.649,225.700
9561,39.5975520,-104.9327370,2,-168.70,16.546,226.700
9611,39.5975510,-104.9327380,2,-169.10,16.467,247.900
9661,39.5975510,-104.9327400,2,-169.40,16.398,247.300
9711,39.5975510,-104.9327410,2,-169.80,16.349,263.400
9761,39.5975510,-104.9327430,2,-170.30,16.310,260.800
9811,39.5975510,-104.9327440,2,-170.70,16.289,276.400
9861,39.5975510,-104.9327460,2,-171.20,16.279,272.000
9911,39.5975510,-104.9327470,2,-171.60,16.277,282.100
9961,39.5975510,-104.9327490,2,-172.10,16.281,276.800
10011,39.5975510,-104.9327500,2,-172.50,16.288,284.100
10061,39.5975510,-104.9327520,2,-173.00,16.299,278.200
10111,39.5975520,-104.9327530,2,-173.40,16.309,283.400
10161,39.5975520,-104.9327550,2,-173.90,16.318,276.800
10211,39.5975520,-104.9327560,2,-174.30,16.322,280.400
10261,39.5975520,-104.9327570,2,-174.80,16.327,273.800
10311,39.5975520,-104.9327590,2,-175.20,16.327,276.500
10361,39.5975520,-104.9327600,2,-175.70,16.326,269.800
10411,39.5975520,-104.9327620,2,-176.10,16.318,271.200
10461,39.5975520,-104.9327630,2,-176.60,16.307,264.400
10511,39.5975520,-104.9327650,2,-177.00,16.288,265.400
10561,39.5975520,-104.9327660,2,-177.40,16.267,258.500
10611,39.5975520,-104.9327680,2,-177.80,16.236,257.300
10661,39.5975520,-104.9327690,2,-178.20,16.200,250.500
10711,39.5975510,-104.9327700,2,-178.60,16.152,248.200
10761,39.5975510,-104.9327720,2,-179.00,16.102,241.400
10811,39.5975500,-104.9327730,2,-179.40,16.040,237.500
10861,39.5975500,-104.9327740,2,-179.70,15.970,230.900
10911,39.5975490,-104.9327750,2,-180.00,15.895,224.800
10961,39.5975480,-104.9327760,2,179.70,15.806,219.000
11011,39.5975470,-104.9327760,2,179.50,15.715,212.200
11061,39.5975460,-104.9327770,2,179.30,15.616,206.900
11111,39.5975450,-104.9327780,2,179.10,15.511,200.800
11161,39.5975440,-104.9327780,2,178.90,15.402,196.900
11211,39.5975430,-104.9327780,2,178.80,15.291,191.700
11261,39.5975420,-104.9327790,2,178.70,15.183,188.900
11311,39.5975410,-104.9327790,2,178.70,15.068,184.600
11361,39.5975400,-104.9327790,2,178.60,14.943,182.400
11411,39.5975390,-104.9327790,2,178.60,14.828,177.300
11461,39.5975380,-104.9327790,2,178.70,14.712,175.800
11511,39.5975370,-104.9327790,2,178.70,14.587,170.700
11561,39.5975360,-104.9327780,2,178.80,14.473,169.900
11611,39.5975350,-104.9327780,2,178.90,14.356,163.900
11661,39.5975340,-104.9327780,2,179.00,14.239,163.800
11711,39.5975330,-104.9327770,2,179.20,14.125,157.600
11761,39.5975320,-104.9327770,2,179.40,14.008,157.900
11811,39.5975310,-104.9327760,2,179.60,13.899,152.300
11861,39.5975300,-104.9327750,2,179.80,13.787,153.600
11911,39.5975290,-104.9327750,2,-179.90,13.674,147.300
11961,39.5975280,-104.9327740,2,-179.70,13.568,149.000
12011,39.5975270,-104.9327730,2,-179.30,13.465,142.500
12061,39.5975260,-104.9327720,2,-179.00,13.362,144.700
12111,39.5975250,-104.9327710,2,-178.70,13.266,138.800
12161,39.5975240,-104.9327700,2,-178.30,13.172,141.600
12211,39.5975230,-104.9327690,2,-177.90,13.075,137.200
12261,39.5975230,-104.9327680,2,-177.50,12.980,140.400
12311,39.5975220,-104.9327670,2,-177.10,12.892,135.800
12361,39.5975210,-104.9327660,2,-176.70,12.801,139.200
12411,39.5975200,-104.9327650,2,-176.30,12.714,135.500
12461,39.5975190,-104.9327640,2,-175.90,12.625,139.200
12511,39.5975180,-104.9327630,2,-175.40,12.536,136.000
12561,39.5975180,-104.9327620,2,-175.00,12.450,140.000
12611,39.5975170,-104.9327610,2,-174.60,12.361,136.800
12661,39.5975160,-104.9327600,2,-174.20,12.279,141.000
12711,39.5975150,-104.9327590,2,-173.70,12.189,138.500
12761,39.5975140,-104.9327580,2,-173.30,12.106,142.800
12811,39.5975130,-104.9327570,2,-172.90,12.018,140.200
12861,39.5975120,-104.9327560,2,-172.50,11.930,144.500
12911,39.5975110,-104.9327560,2,-172.00,11.844,142.200
12961,39.5975110,-104.9327550,2,-171.60,11.754,146.500
13011,39.5975100,-104.9327540,2,-171.20,11.665,145.100
13061,39.5975090,-104.9327530,2,-170.80,11.576,149.400
13111,39.5975080,-104.9327530,2,-170.40,11.484,148.600
13161,39.5975070,-104.9327520,2,-170.00,11.391,152.900
13211,39.5975060,-104.9327510,2,-169.70,11.295,152.100
13261,39.5975050,-104.9327510,2,-169.30,11.202,156.200
13311,39.5975040,-104.9327500,2,-169.00,11.107,156.100
13361,39.5975030,-104.9327500,2,-168.70,11.011,159.600
13411,39.5975020,-104.9327490,2,-168.30,10.913,160.200
13461,39.5975010,-104.9327490,2,-168.00,10.808,163.800
13511,39.5975000,-104.9327480,2,-167.70,10.706,164.200
13561,39.5974990,-104.9327480,2,-167.50,10.608,167.500
13611,39.5974980,-104.9327480,2,-167.20,10.503,168.500
13661,39.5974970,-104.9327470,2,-167.00,10.397,171.100
13711,39.5974960,-104.9327470,2,-166.70,10.293,173.400
13761,39.5974950,-104.9327470,2,-166.50,10.184,175.800
13811,39.5974940,-104.9327470,2,-166.40,10.077,179.000
13861,39.5974930,-104.9327470,2,-166.20,9.970,181.100
13911,39.5974920,-104.9327470,2,-166.10,9.852,185.000
13961,39.5974910,-104.9327470,2,-166.00,9.747,186.800
